mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
27	27	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	122													
27	27	41	41	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	123													
27	27	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	124													
28	28	42	42	0.375	0	0	Chord	3/8	1	1	3/32	1/8	3/4	125		articStaccatoAbove							8				
28	28	339/8	339/8	0.375	3/32	3/32	Chord	3/8	1	1	3/32	1/8	3/4	126		articStaccatoAbove							8				
28	28	171/4	171/4	0.375	3/16	3/16	Chord	3/8	1	1	3/32	1/8	3/4	127		articStaccatoAbove							8				
28	28	345/8	345/8	0.375	9/32	9/32	Chord	3/8	1	1	3/32	1/8	3/4	128		articStaccatoAbove											
28	28	42	42	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	129													
28	28	85/2	85/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	130													
29	29	87/2	87/2	0.0	0	0	StaffText	3/8	1	1	0						<i>a tempo</i>										
29	29	87/2	87/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	131		articMarcatoAbove							9				
29	29	177/4	177/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	132									9				
29	29	89/2	89/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	133									9				
29	29	179/4	179/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	134													
29	29	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	135													
29	29	44	44	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	136													
29	29	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	137													
30	30	45	45	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	138		articMarcatoAbove							10				
30	30	183/4	183/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	139									10				
30	30	46	46	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	140									10				
30	30	185/4	185/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	141													
30	30	45	45	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	142													
30	30	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	143													
30	30	46	46	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	144													
31	31	93/2	93/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	145		articMarcatoAbove							11				
31	31	189/4	189/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	146									11				
31	31	95/2	95/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	147									11				
31	31	191/4	191/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	148													
31	31	93/2	93/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	149													
31	31	47	47	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	150													
31	31	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	151													
32	32	48	48	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	152		articMarcatoAbove							12				
32	32	195/4	195/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	153									12				
32	32	49	49	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	154									12				
32	32	197/4	197/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	155													
32	32	48	48	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	156													
