mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	219		articStaccatoAbove										
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	220		articStaccatoBelow										
48	48	94	94	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	221												
48	48	95	95	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	222		articStaccatoAbove										
48	48	95	95	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	223		articStaccatoBelow										
49	49	96	96	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	224										13		
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	225										13		
49	49	97	97	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	226		articStaccatoAbove										
49	49	97	97	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	227		articStaccatoBelow										
50	50	98	98	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	228										13		
50	50	197/2	197/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	229										13		
50	50	99	99	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	230		articStaccatoAbove										
50	50	99	99	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	231		articStaccatoBelow										
51	51	100	100	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	232										13		
51	51	201/2	201/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	233										13		
51	51	101	101	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	234		articStaccatoAbove										
51	51	101	101	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	235		articStaccatoBelow										
52	52	102	102	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	236										13		
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	237										13		
52	52	103	103	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	238		articStaccatoAbove										
52	52	103	103	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	239		articStaccatoBelow										
53	53	104	104	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	240										13		
53	53	209/2	209/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	241										13		
53	53	211/2	211/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242												
53	53	105	105	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	243		articStaccatoAbove										
53	53	105	105	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	244		articStaccatoBelow										
54	54	106	106	0.0	0	0	Dynamic	2/4	1	1	0					f											
54	54	106	106	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=69Vivo	138.0			1.0			
54	54	106	106	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	245												
54	54	213/2	213/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															3	
54	54	213/2	213/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	246											3	
54	54	107	107	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	247		articStaccatoBelow									3	
54	54	107	107	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	248												
55	55	108	108	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	249											3	
55	55	217/2	217/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	250											3	
55	55	109	109	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	251		articStaccatoBelow									3	
55	55	109	109	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	252												
56	56	110	110	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	253											3	
56	56	221/2	221/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	254											3	
56	56	223/2	223/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																
56	56	111	111	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	255		articStaccatoBelow										
56	56	111	111	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	256		articStaccatoBelow										
57	57	112	112	0.0	0	0	Dynamic	2/4	1	1	0					sf											
57	57	112	112	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><i>più</i><font size=""12""/><b> </b>"									
57	57	112	112	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	257												
57	57	225/2	225/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					f											
57	57	225/2	225/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	258												
57	57	225/2	225/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	259		articMarcatoBelow										
57	57	113	113	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	260												
58	58	114	114	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	261												
58	58	114	114	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	262												
58	58	114	114	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	263												
59	59	116	116	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	264												
59	59	471/4	471/4	0.0	7/16	7/16	Spanner	2/4	1	1	0															4	
59	59	471/4	471/4	0.08333333333333333	7/16	7/16	Chord	2/4	1	1	1/48		1/32	2/3	265											4	
59	59	707/6	707/6	0.08333333333333333	11/24	11/24	Chord	2/4	1	1	1/48		1/32	2/3	266											4	
59	59	1415/12	1415/12	0.0	23/48	23/48	Spanner	2/4	1	1	0																
59	59	1415/12	1415/12	0.08333333333333333	23/48	23/48	Chord	2/4	1	1	1/48		1/32	2/3	267												
59	59	116	116	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	268												
59	59	116	116	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	269												
60	60	118	118	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=76	76.0	𝅘𝅥	76.0	1.0			
60	60	118	118	0.0	0	0	Dynamic	2/4	1	1	0					p											
60	60	118	118	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	270		articStaccatoAbove										
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	271		articStaccatoAbove										
60	60	119	119	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	272		articStaccatoAbove										
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	273		articStaccatoAbove										
60	60	118	118	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	274		articStaccatoBelow										
60	60	119	119	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	275		articStaccatoBelow										
61	61	120	120	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
61	61	120	120	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	276		articTenutoAbove										
61	61	120	120	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	277		articTenutoBelow										
62	62	122	122	0.0	0	0	Spanner	2/4	1	1	0															5	
62	62	122	122	0.0	0	0	Spanner	2/4	1	1	0															5	4
62	62	122	122	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	278											5	4
62	62	122	122	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	279											5	4
62	62	122	122	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	280											5	4
62	62	122	122	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	281		articStaccatoAbove									5	4
62	62	245/2	245/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																4
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	282		articStaccatoAbove										4
62	62	123	123	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	283		articStaccatoAbove										4
62	62	247/2	247/2	0.0	3/8	3/8	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
62	62	247/2	247/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	284		articStaccatoAbove										
62	62	122	122	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	285		articStaccatoBelow										
62	62	123	123	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	286		articStaccatoBelow										
63	63	124	124	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	287		articTenutoAbove										
63	63	124	124	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	288		articTenutoBelow										
64	64	126	126	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=56	112.0	𝅗𝅥	56.0	1.0			
64	64	126	126	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><b>Tempo I</b>"									
64	64	126	126	0.0	0	0	Spanner	2/4	1	1	0															6	
64	64	126	126	0.0	0	0	Spanner	2/4	1	1	0															6, 7	
64	64	126	126	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	289											6, 7	
64	64	126	126	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	290											6, 7	
64	64	126	126	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	291											6, 7	
64	64	126	126	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	292		articStaccatoAbove									6, 7	
64	64	253/2	253/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															7	
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	293		articStaccatoAbove									7	
64	64	127	127	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	294		articStaccatoAbove									7	
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	295		articStaccatoAbove									7	
64	64	127	127	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	296		articStaccatoBelow										
65	65	128	128	0.0	0	0	StaffText	2/4	1	1	0							<i>accel.</i>								7	
65	65	128	128	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	297		articStaccatoAbove									7	
65	65	257/2	257/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	298		articStaccatoAbove									7	
65	65	129	129	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	299		articStaccatoAbove									7	
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	300		articStaccatoAbove									7	
65	65	128	128	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	301		articStaccatoBelow										
65	65	129	129	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	302		articStaccatoBelow										
66	66	130	130	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=69	138.0	𝅗𝅥	69.0	1.0			
66	66	130	130	0.0	0	0	Spanner	2/4	1	1	0																
66	66	130	130	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	303		articStaccatoAbove										
66	66	261/2	261/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	304		articStaccatoAbove										
66	66	131	131	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	305		articStaccatoAbove										
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	306		articStaccatoAbove										
66	66	130	130	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	307		articStaccatoBelow										
66	66	131	131	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	308		articStaccatoBelow										
67	67	132	132	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	309		articStaccatoAbove										
67	67	265/2	265/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	310		articStaccatoAbove										
67	67	133	133	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	311		articStaccatoAbove										
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	312												
67	67	132	132	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	313		articStaccatoBelow										
67	67	133	133	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	314		articStaccatoBelow										
68	68	134	134	0.0	0	0	Spanner	2/4	1	1	0																5
68	68	134	134	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	315		articStaccatoBelow										5
68	68	269/2	269/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	316		articStaccatoBelow										5
68	68	135	135	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	317		articStaccatoBelow										5
68	68	271/2	271/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	318		articStaccatoBelow										5
68	68	134	134	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	319		articStaccatoBelow										
68	68	135	135	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	320		articStaccatoBelow										
69	69	136	136	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	321		articStaccatoBelow										5
69	69	273/2	273/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	322		articStaccatoBelow										5
69	69	137	137	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	323		articStaccatoBelow										5
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	324		articStaccatoBelow										5
69	69	136	136	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	325		articStaccatoAbove										
69	69	137	137	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	326		articStaccatoAbove										
70	70	138	138	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><b>Tempo I</b>"									
70	70	138	138	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
70	70	138	138	0.0	0	0	Spanner	2/4	1	1	0																
70	70	138	138	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	327		articTenutoBelow										
70	70	138	138	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	328		articTenutoBelow										
71	71	140	140	0.0	0	0	Spanner	2/4	1	1	0																6
71	71	140	140	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	329		articStaccatoBelow										6
71	71	281/2	281/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	330		articStaccatoBelow										6
71	71	141	141	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	331		articStaccatoBelow										6
71	71	283/2	283/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	332		articStaccatoBelow										6
71	71	140	140	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	333		articStaccatoBelow										
71	71	141	141	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	334		articStaccatoBelow										
72	72	142	142	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
72	72	142	142	0.0	0	0	Spanner	2/4	1	1	0																
72	72	142	142	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	335		articTenutoBelow										
72	72	142	142	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	336		articTenutoBelow										
73	73	144	144	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	337		articStaccatoBelow										
73	73	289/2	289/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	338		articStaccatoBelow										
73	73	145	145	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	339		articStaccatoBelow										
73	73	291/2	291/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	340		articStaccatoBelow										
73	73	144	144	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	341		articStaccatoBelow										
73	73	145	145	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	342		articStaccatoBelow										
74	74	146	146	0.0	0	0	SystemText	2/4	1	1	0								"<b/><font face=""ScoreText""/>"								
74	74	146	146	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	343		articTenutoBelow										
74	74	146	146	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	344		articTenutoBelow										
75	75	148	148	0.0	0	0	Spanner	2/4	1	1	0															8	
75	75	148	148	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	345		articStaccatoBelow									8	
75	75	297/2	297/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	346		articStaccatoBelow									8	
75	75	149	149	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	347		articStaccatoBelow									8	
75	75	299/2	299/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	348		articStaccatoBelow									8	
75	75	148	148	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	349		articStaccatoBelow										
75	75	149	149	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	350		articStaccatoBelow										
76	76	150	150	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥=92-100	92.0			1.0			
76	76	150	150	0.0	0	0	StaffText	2/4	1	1	0							<i>molto espress.</i>									
76	76	150	150	0.0	0	0	Spanner	2/4	1	1	0																
76	76	150	150	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	351										14		
76	76	151	151	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	352										14		
76	76	150	150	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	353												
76	76	151	151	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	354												
76	76	150	150	0.0	0	0	Dynamic	2/4	2	1	0					mf											
77	77	152	152	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	355										14		
77	77	152	152	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	356												
77	77	152	152	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	357												
78	78	154	154	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	358												
78	78	154	154	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	359												
78	78	154	154	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	360												
79	79	156	156	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	361		articAccentAbove										
79	79	157	157	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	362		articMarcatoAbove										
79	79	156	156	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	363												
79	79	157	157	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	364												
79	79	156	156	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	365		articAccentAbove								15		
79	79	313/2	313/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	366										15		
80	80	158	158	0.0	0	0	Tempo	2/4	1	1	0									𝅗𝅥=60	120.0	𝅗𝅥	60.0	1.0			
80	80	158	158	0.0	0	0	Spanner	2/4	1	1	0																7
80	80	158	158	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	367												7
80	80	158	158	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	368												7
80	80	158	158	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	369										15		
81	81	160	160	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	370												7
81	81	160	160	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	371												7
81	81	160	160	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	372												
82	82	162	162	0.0	0	0	Spanner	2/4	1	1	0																
82	82	162	162	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	373												
82	82	162	162	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	374												
82	82	162	162	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	375										16		
82	82	325/2	325/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	376										16		
83	83	164	164	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	377												
83	83	164	164	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	378												
83	83	164	164	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	379										16		
84	84	166	166	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	380												
84	84	166	166	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	381												
84	84	166	166	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	382												
85	85	168	168	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	383												
85	85	168	168	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	384												
85	85	168	168	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	385										17		
85	85	337/2	337/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	386										17		
86	86	170	170	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	387												
86	86	170	170	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	388												
86	86	170	170	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	389										17		
87	87	172	172	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	390												
87	87	172	172	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	391												
87	87	172	172	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	392												
